n;iteration;theta_no;theta_bh;t_no;t_bh;total_no;total_bh;ratio
10;0;0.000027;0.000093;0.000302;0.000119;0.000329;0.000212;1.551887
10;1;0.000024;0.000064;0.000261;0.000149;0.000285;0.000213;1.338028
10;2;0.000025;0.000064;0.000283;0.000111;0.000308;0.000175;1.760000
10;3;0.000025;0.000068;0.000255;0.000089;0.000280;0.000157;1.783439
10;4;0.000025;0.000063;0.000334;0.000084;0.000359;0.000147;2.442177
10;5;0.000026;0.000064;0.000262;0.000094;0.000288;0.000158;1.822785
10;6;0.000025;0.000063;0.000316;0.000098;0.000341;0.000161;2.118012
10;7;0.000025;0.000062;0.000309;0.000125;0.000334;0.000187;1.786096
10;8;0.000024;0.000063;0.000302;0.000096;0.000326;0.000159;2.050314
10;9;0.000024;0.000062;0.000201;0.000119;0.000225;0.000181;1.243094
10;10;0.000025;0.000063;0.000391;0.000116;0.000416;0.000179;2.324022
10;11;0.000027;0.000064;0.000274;0.000156;0.000301;0.000220;1.368182
10;12;0.000024;0.000064;0.000467;0.000252;0.000491;0.000316;1.553797
10;13;0.000038;0.000087;0.000394;0.000117;0.000432;0.000204;2.117647
10;14;0.000046;0.000097;0.000429;0.000200;0.000475;0.000297;1.599327
10;15;0.000027;0.000088;0.000370;0.000084;0.000397;0.000172;2.308140
10;16;0.000025;0.000064;0.000298;0.000082;0.000323;0.000146;2.212329
10;17;0.000025;0.000069;0.000177;0.000094;0.000202;0.000163;1.239264
10;18;0.000025;0.000064;0.000277;0.000106;0.000302;0.000170;1.776471
10;19;0.000025;0.000063;0.000250;0.000122;0.000275;0.000185;1.486486
10;20;0.000024;0.000063;0.000272;0.000075;0.000296;0.000138;2.144928
10;21;0.000024;0.000068;0.000372;0.000108;0.000396;0.000176;2.250000
10;22;0.000024;0.000064;0.000258;0.000084;0.000282;0.000148;1.905405
10;23;0.000025;0.000063;0.000213;0.000036;0.000238;0.000099;2.404040
10;24;0.000025;0.000062;0.000294;0.000095;0.000319;0.000157;2.031847
10;25;0.000025;0.000063;0.000308;0.000208;0.000333;0.000271;1.228782
10;26;0.000024;0.000063;0.000236;0.000099;0.000260;0.000162;1.604938
